imdb_title,imdb_rank_toptv,imdb_series_type,imdb_ongoing,imdb_year_start,imdb_year_end,trakt_rating_imdb,trakt_vote_count_imdb,trakt_full_runtime_min,trakt_avg_ep_runtime_min,trakt_networks,trakt_country_of_origin,trakt_genres,trakt_studios,trakt_creators,trakt_num_of_episodes,trakt_num_of_seasons,trakt_series_regulars,trakt_guest_stars,wiki_created_by,wiki_written_by,wiki_executive_producers,wiki_producers,wiki_cinematography,wiki_editors
This Is Us,126,TV Series,No,2016,2022,8.7,"168,000","4,560",43,['NBC'],United States,"['Drama', 'Romance']","['20th Century Fox Television', 'Rhode Island Ave. Productions', 'Zaftig Films', '20th Television']",Dan Fogelman,105,6,"['Milo Ventimiglia', 'Mandy Moore', 'Sterling K. Brown', 'Chrissy Metz', 'Justin Hartley', 'Susan Kelechi Watson', 'Chris Sullivan', 'Jon Huertas', 'Niles Fitch', 'Logan Shroyer', 'Hannah Zeile', 'Mackenzie Hancsicsak', 'Parker Bates', 'Lonnie Chavis', 'Eris Baker', 'Faithe Herman', 'Lyric Ross', 'Ron Cephas Jones', 'Alexandra Breckenridge', 'Melanie Liburd', 'Caitlin Thompson']","['Caitlin Thompson', 'Griffin Dunne', 'Eris Baker', 'Faithe Herman', 'Kaz Womack', 'Isabella Rose Landau', 'Amanda Leighton', ""Ca'Ron Jaden Coleman"", 'Alexandra Breckenridge', 'Lyric Ross', 'Asante Blackk', 'Jennifer Morrison', 'Tim Jo', 'Rachel Hilson', 'Logan Shroyer']",['Dan Fogelman'],N.A.,"['Dan Fogelman', 'Jess Rosenthal', 'Donald Todd', 'Ken Olin', 'Charlie Gogolak', 'John Requa', 'Glenn Ficarra', 'Isaac Aptaker', 'Elizabeth Berger', 'Kay Oyegun']",N.A.,N.A.,N.A.
1883,127,TV Mini Series,No,2021,2022,8.7,"145,000",561,42,['Paramount+'],United States,"['Drama', 'Western']","['101 Studios', 'The Linson Company', 'Bosque Ranch Productions', 'MTV Studios']",Taylor Sheridan,10,1,"['Sam Elliott', 'Tim McGraw', 'Faith Hill', 'Isabel May', 'LaMonica Garrett', 'Marc Rissmann', 'Audie Rick', 'James Landry Hébert']","['Gratiela Brancusi', 'Anna Fiamora', 'Malcolm Stephenson', 'Amanda Jaros', 'Jordan Walker Ross', 'Konstantin Melikhov', 'Josef Bette', 'Eric Bear', 'Eric Nelsen', 'Rob Mello', 'James Jordan', 'Noah Le Gros', 'Sacha Seberg', 'Neal Kodinsky', 'Martin Sensmeier']",['Taylor Sheridan'],['Taylor Sheridan'],"['Ron Burkle', 'David C. Glasser', 'John Linson', 'Art Linson', 'Taylor Sheridan', 'Bob Yari']",['David Hutkin'],['Ben Richardson'],"['Nathan Gunn', 'John Coniglio', 'Ryan Malanaphy', 'Brooke Rupe', 'Chad Galster', 'Martin Nicholson', 'Trevor Penna']"
Father Ted,128,TV Series,No,1995,1998,8.7,"46,000",578,24,['Channel 4'],Ireland,['Comedy'],"['Hat Trick Productions', 'Channel 4 Television']",Graham Linehan,24,3,"['Dermot Morgan', ""Ardal O'Hanlon"", 'Pauline McLynn', 'Frank Kelly']","['Tony Guilfoyle', 'Don Wycherley', 'Arthur Mathews', 'Pat Shortt', ""Rynagh O'Grady"", 'Graham Norton', 'Jim Norton', 'Don Foley', ""Maurice O'Donoghue"", 'Jimmy Keogh', 'Jon Kenny', 'Patrick Drury', 'Rosemary Henderson', 'Doreen Keogh', 'Denys Hawthorne']","['Graham Linehan', 'Arthur Mathews']","['Graham Linehan', 'Arthur Mathews']",['Mary Bell'],"['Geoffrey Perkins', 'Lissa Evans']","[""Eugene O'Connor""]",N.A.
Behzat Ç: An Ankara Detective Story,129,TV Series,No,2010,2019,8.8,"33,700","8,830",65,"['Star TV', 'BluTV']",Turkey,"['Drama', 'Action', 'Adventure', 'War', 'Crime']","['İnter Medya', 'Adam Film']",N.A.,105,4,"['Erdal Beşikçioğlu', 'Canan Ergüder', 'Ege Aydan', 'İnanç Konukçu', 'Berkan Şal', 'Eray Eserol', 'Fatih Artman', 'Seda Bakan', 'Ayça Eren', 'Hakan Hatipoğlu', 'Elvin Beşikçioğlu', 'Remzi Evren', 'Berke Üzrek', 'Pelinsu Pir', 'Serdar Orçin', 'Gökhan Yikilkan', 'Güven Kiraç', 'Nejat İşler', 'Mine Tugay', 'Ahmet Uğurlu', 'Yamaç Telli', 'Engin Öztürk', 'Yildiz Kültür', 'Sezin Akbaşoğullari', 'Emre Erçil', 'Zeynep Koltuk', 'Hüseyin Sevimli']","['Berke Üzrek', 'Yasemin Öztürk', 'Nihal Tercan', 'Ayça Varlier', 'Ecem Arikan', 'Zeynep Koltuk', 'Nejat İşler', 'Derya Uçar', 'Efe Çetinel', 'Samet Taha Topal', 'Mehmet Nurkut İlhan', 'Ali Hakan Beşen', 'Ahu Türkpençe', 'Baran Akbulut', 'Güven Kiraç']",['Emrah Serbes'],['Emrah Serbes Ercan Mehmet Erdem'],N.A.,['Serdar Akar'],N.A.,N.A.
Code Geass,130,TV Series,No,2006,2008,8.7,"92,900","1,250",25,['MBS'],Japan,"['Drama', 'Action', 'Science Fiction', 'Anime']","['SUNRISE', 'Bandai Visual', 'Hakuhodo DY Media Partners', 'Mainichi Broadcasting System (MBS)', 'Project Geass', 'Bandai Namco Entertainment']",N.A.,50,2,"['Jun Fukuyama', 'Takahiro Sakurai', 'Yukana', 'Ami Koshimizu', 'Fumiko Orikasa']","['Tetsu Shiratori', 'Kikuko Inoue', 'Mitsuaki Madono', 'Yasuyuki Kase', 'Noriaki Sugiyama', 'Junko Minagawa', 'Saeko Chiba', 'Sayaka Ohara', 'Akeno Watanabe', 'Ryuzo Hasuike', 'Omi Minami', 'Kazunari Tanaka', 'Jouji Nakata', 'Ken Narita', 'Yoshiyuki Kono']",N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Sarabhai V/S Sarabhai,131,TV Series,No,2004,2017,8.9,"18,400","1,995",25,"['StarPlus', 'Star One', 'Hotstar']",India,['Comedy'],['Hats Off Productions'],Aatish Kapadia,80,2,"['Ratna Pathak Shah', 'Rupali Ganguly', 'Satish Shah', 'Sumeet Raghvan', 'Rajesh Kumar', 'Deven Bhojani', 'Vaibhavi Upadhyay']","['Kshitee Jog', 'Parvin Dabas', 'Supriya Pathak', 'Vandana Pathak', 'Anang Desai', 'Rajeev Mehta']",N.A.,['Aatish Kapadia'],N.A.,"['Jamnadas D. Majethia', 'Aatish Kapadia']",N.A.,N.A.
Aspirants,132,TV Series,Yes,2021,,9.2,"314,000",443,45,['Amazon'],India,['Drama'],['The Viral Fever Media Labs'],Arunabh Kumar,10,2,"['Naveen Kasturia', 'Shivankit Singh Parihar', 'Abhilash Thapliyal', 'Sunny Hinduja', 'Namita Dubey']","['Kuljeet Singh', 'Abhishek Sonpaliya', 'Tengam Celine', 'Shiva Hariharan', 'Neeta Jhanjhi', 'Bijou Thaangjam', 'Mallika Prasad Sinha', 'Nupur Nagpal', 'Shivam Kakar', 'Preeti Agarwal Mehta']",N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Adventure Time,133,TV Series,No,2010,2018,8.6,"125,000","3,098",11,['Cartoon Network'],United States,"['Animation', 'Comedy', 'Fantasy', 'Science Fiction']","['Frederator Studios', 'Cartoon Network Studios']",Pendleton Ward,279,10,"['Jeremy Shada', 'John DiMaggio', 'Tom Kenny', 'Hynden Walch', 'Olivia Olson', 'Niki Yang', 'Pendleton Ward', 'Polly Lou Livingston']","['Justin Roiland', 'Ava Acres', 'Ashly Burch', 'Kumail Nanjiani', 'Emo Philips', 'Madeleine Martin', 'Roz Ryan', 'Kristen Schaal', 'Dan Mintz', 'Isabella Acres', 'Andy Samberg', ""'Weird Al' Yankovic"", 'Kent Osborne', 'Neil Patrick Harris', 'Mark Hamill']",['Pendleton Ward'],N.A.,"['Fred Seibert', 'Derek Drymon', 'Curtis Lelash', 'Jennifer Pelphrey', 'Brian A. Miller', 'Rob Sorcher', 'Pendleton Ward', 'Adam Muto']",['Kelly Crews'],N.A.,N.A.
Ramayan,134,TV Series,No,1987,1988,9.0,"24,600","2,730",35,['DD National'],India,"['Drama', 'Action', 'Adventure', 'Family']",['Sagar Pictures Entertainment'],Ramanand Sagar,78,1,"['Arun Govil', 'Deepika Chikhalia', 'Sunil Lahri', 'Dara Singh', 'Lalita Pawar', 'Arvind Trivedi', 'Sameer Rajda', 'Mulraj Rajda', 'Rajnibala', 'Sanjay Jog', 'Bal Dhuri', 'Jayshree Gadkar', 'Vijay Arora', 'Padma Khanna']",[],['Ramanand Sagar'],['Ramanand Sagar'],['Subhash Sagar'],['Ramanand Sagar Anand Sagar Moti Sagar'],['Ajit Naik'],['Subhash Sehgal']
Parks and Recreation,135,TV Series,No,2009,2015,8.6,"305,000","2,805",22,['NBC'],United States,['Comedy'],"['Universal Television', 'Deedle-Dee Productions', 'Fremulon', '3 Arts Entertainment']",Michael Schur,122,7,"['Amy Poehler', 'Aziz Ansari', 'Nick Offerman', 'Aubrey Plaza', 'Chris Pratt', 'Adam Scott', ""Jim O'Heir"", 'Retta', 'Rashida Jones', 'Rob Lowe', 'Paul Schneider']","[""Jim O'Heir"", 'Jay Jackson', 'Retta', 'Yvans Jourdain', 'Mo Collins', 'Ben Schwartz', 'Jon Glaser', 'Rob Lowe', 'James Greene', 'Billy Eichner', 'Andy Forrest', 'Kevin Symons', 'Alison Becker', 'Andrew Burlinson', 'Alan Yang']","['Greg Daniels', 'Michael Schur']",N.A.,"['Greg Daniels', 'Michael Schur', 'Howard Klein', 'David Miner', 'Morgan Sackett', 'Dean Holland', 'Dan Goor']",['Amy Poehler'],N.A.,N.A.
The X-Files,136,TV Series,No,1993,2018,8.6,"264,000","9,776",42,['FOX'],United States,"['Mystery', 'Fantasy', 'Science Fiction', 'Crime']","['Ten Thirteen Productions', '20th Century Fox Television']",Chris Carter,218,11,"['David Duchovny', 'Gillian Anderson', 'Robert Patrick', 'Annabeth Gish', 'Mitch Pileggi', 'William B. Davis']","['Mitch Pileggi', 'William B. Davis', 'Tom Braidwood', 'Bruce Harwood', 'Dean Haglund', 'Nicholas Lea', 'James Pickens Jr.', 'Sheila Larken', 'Steven Williams', 'Chris Owens', 'Don S. Williams', 'Laurie Holden', 'Jerry Hardin', 'Rebecca Toolan', 'Brian Thompson']",['Chris Carter'],N.A.,"['Chris Carter', 'R. W. Goodwin', 'Howard Gordon', 'Frank Spotnitz', 'Vince Gilligan', 'John Shiban', 'Kim Manners', 'Glen Morgan', 'James Wong', 'Michelle MacLaren', 'Michael W. Watkins', 'David Greenwalt']",N.A.,['John Bartley Bill Roe Joel Ransom Jon Joffin Craig Wrobleski Ron Stannett Thomas Del Ruth'],N.A.
Dexter,137,TV Series,No,2006,2013,8.6,"855,000","5,136",60,['Showtime'],United States,"['Drama', 'Mystery', 'Crime']","['Showtime Networks', 'John Goldwyn Productions', 'The Colleton Company', 'Clyde Phillips Productions', 'Devilina Productions']",James Manos Jr.,96,8,"['Michael C. Hall', 'Jennifer Carpenter', 'David Zayas', 'James Remar', 'Luna Lauren Velez', 'C.S. Lee', 'Desmond Harrington', 'Julie Benz', 'Erik King', 'Geoff Pierson', 'Aimee Garcia', 'Luke Andrew Kruntchev']","['Christina Robinson', 'Preston Bailey', 'Geoff Pierson', 'Aimee Garcia', 'Luke Andrew Kruntchev', 'Dana L. Wilson', 'David Ramsey', 'Yvonne Strahovski', 'Keith Carradine', 'Sean Patrick Flanery', 'Colin Hanks', 'Jimmy Smits', 'Desmond Harrington', 'John Lithgow', 'Evan George Kruntchev']",N.A.,N.A.,"['James Manos Jr.', 'Sara Colleton', 'John Goldwyn', 'Daniel Cerone', 'Charles H. Eglee', 'Michael C. Hall', 'Chip Johannessen', 'Clyde Phillips', 'Aydan Hunt', 'Wendy West', 'Tim Schlattmann', 'Melissa Rosenberg', 'Jace Richdale', 'Scott Buck', 'Scott Reynolds', 'Marcos Siega', 'Bill Carraro', 'Hilly Hicks Jr.', 'Tony Hernandez', 'Lilly Burns']","['Timothy Schlattmann', 'Lauren Gussis', 'Arika Lisanne Mittman', 'Drew Z. Greenberg', 'Dennis Bishop', 'Adam Brightman', 'Judson Schwartz', 'Ryan McCormick', 'Michael Amodio']","['Terry Stacey', 'Romeo Tirone', 'Martin J. Layton', 'Jeffrey Jur', 'Hillary Fyfe Spera', 'Michael Watson', 'Joe Collins', 'Radium Cheung']",N.A.
Atlanta,138,TV Series,No,2016,2022,8.6,"95,100","1,236",30,['FX'],United States,"['Comedy', 'Drama']","['FX Productions', 'RBA', '343 Incorporated', 'MGMT Entertainment', 'Gilga']",Donald Glover,41,4,"['Donald Glover', 'Brian Tyree Henry', 'LaKeith Stanfield', 'Zazie Beetz']","['Diane Sellers', 'Rick Holmes', 'Hugh Coles', 'Adriyan Rae', 'Tobias Segal', 'Joshua Gallup', 'Austin Elle Fisher', 'Aaron Tyler', 'Candace B. Harris', 'Keena Ferguson', 'Katt Williams', 'Austin Lowe', 'Nadjah Dabney', 'Grady Port', 'Hye Jin Jang']",['Donald Glover'],N.A.,"['Donald Glover', 'Paul Simms', 'Dianne McGunigle', 'Stephen Glover', 'Hiro Murai']",N.A.,"['Christian Sprenger', 'Stephen Murphy', 'Gabriel Patay']","['Isaac Hagy', 'Kyle Reiter', 'Ivan Victor', 'Jen Bryson', 'Cameron Ross']"
The Mandalorian,139,TV Series,Yes,2019,,8.6,"631,000","1,029",40,N.A.,United States,"['Fantasy', 'Science Fiction', 'Action', 'Adventure', 'Drama']","['Lucasfilm', 'Golem Creations', 'Fairview Entertainment']",Jon Favreau,24,3,"['Pedro Pascal', 'Katee Sackhoff']","['Chris Bartlett', 'Misty Rosas', 'Carl Weathers', 'Brendan Wayne', 'Emily Swallow', 'Giancarlo Esposito', 'Tait Fletcher', 'Lateef Crowder', ""Katy O'Brian"", 'Gina Carano', 'Taika Waititi', 'Mercedes Varnado', 'Temuera Morrison', 'Omid Abtahi', 'Rio Hackford']",['Jon Favreau'],N.A.,"['Jon Favreau', 'Dave Filoni', 'Kathleen Kennedy', 'Colin Wilson', 'Rick Famuyiwa']",['John Bartnicki'],"['Greig Fraser', 'Barry ""Baz"" Idoine', 'Matthew Jensen', 'David Klein', 'Dean Cundey', 'Paul Hughen']","['Jeff Seibenick', 'Andrew S. Eisen', 'Dana E. Glauberman', 'Adam Gerstel', 'Dylan Firshein', 'Rachel Goodlett Katz', 'J. Erik Jessen']"
Deadwood,140,TV Series,No,2004,2006,8.6,"124,000","1,897",55,['HBO'],United States,"['Western', 'Crime', 'Drama']","['Roscoe Productions', 'HBO', 'Red Board Productions', 'Paramount Television']",David Milch,36,3,"['Timothy Olyphant', 'Ian McShane', 'Molly Parker', 'W. Earl Brown', 'Dayton Callie', 'Brad Dourif', 'John Hawkes', 'Paula Malcomson', 'Leon Rippy', 'William Sanderson', 'Robin Weigert', 'Jim Beaver', 'Anna Gunn', 'Titus Welliver', 'Powers Boothe', 'Bree Seanna Wall', 'Sean Bridgers', 'Kim Dickens', 'Brent Sexton', 'Keone Young', 'Sarah Paulson', 'Gerald McRaney', 'Geri Jewell']","['Peter Jason', 'Jeffrey Jones', 'Larry Cedar', 'Garret Dillahunt', 'Pasha D. Lychnikoff', 'Parisse Boothe', 'Keone Young', 'Franklyn Ajaye', 'Ralph Richeson', 'Stephen Tobolowsky', 'Brian Cox', 'Zach Grenier', 'Cleo King', 'Cynthia Ettinger', 'Nick Amandos']",['David Milch'],N.A.,"['David Milch', 'Gregg Fienberg', 'Mark Tinker']",N.A.,N.A.,N.A.
Mr Inbetween,141,TV Series,No,2018,2021,8.7,"37,900",696,23,['FX'],Australia,"['Drama', 'Crime', 'Comedy']","['Jungle Entertainment', 'Blue-Tongue Films', 'Create NSW', 'Screen Australia', 'FX Productions']",Scott Ryan,26,3,"['Scott Ryan', 'Chika Yasumura', 'Brooke Satchwell', 'Nicholas Cassim', 'Damon Herriman', 'Justin Rosniak', 'Jeremy Sims']","['Natalie Tran', 'Eddie Baroo', 'Matt Nable', 'Kieran Darcy-Smith', 'Josh McConville', 'David Michôd', 'Greg Hatton', 'Scott Harrison', 'Lizzie Schebesta', 'Edmund Lembke-Hogan', 'Dionisia Ghio', 'Ben Oxenbould', 'Jackson Tozer', 'Jason Burrows', 'Dorian Nkono']",['Scott Ryan'],['Scott Ryan'],"['Scott Ryan', 'Nash Edgerton', 'Jason Burrows']",['Michele Bennett'],N.A.,N.A.
House of Cards,142,TV Series,No,2013,2018,8.6,"548,000","3,787",51,['Netflix'],United States,['Drama'],"['Media Rights Capital', 'Trigger Street Productions', 'Wade/Thomas Productions']",Beau Willimon,73,6,"['Robin Wright', 'Michael Kelly', 'Kevin Spacey', 'Jayne Atkinson', 'Derek Cecil', 'Nathan Darrow', 'Mahershala Ali', 'Paul Sparks', 'Boris McGiver', 'Sebastian Arcelus', 'Neve Campbell', 'Sakina Jaffrey', 'Michel Gill', 'Rachel Brosnahan', 'Joel Kinnaman', 'Molly Parker', 'Jimmi Simpson', 'Constance Zimmer', 'Patricia Clarkson', 'Lars Mikkelsen', 'Campbell Scott', 'Kristen Connolly', 'Kate Mara', 'Dominique McElligott', 'Corey Stoll', 'Gerald McRaney', 'Kim Dickens', 'Damian Young', 'Elizabeth Marvel', 'Cody Fern', 'Diane Lane', 'Greg Kinnear']","['Jeremy Holm', 'Reed Birney', 'Reg E. Cathey', 'Larry Pine', 'Korey Jackson', 'Gina Jun', 'Boris McGiver', 'Curtiss Cook', 'Jayne Atkinson', 'Sandrine Holt', 'Elizabeth Marvel', 'Kate Lyn Sheil', 'Eisa Davis', 'Dominique McElligott', 'Derek Cecil']",['Beau Willimon'],N.A.,"['David Fincher', 'Kevin Spacey', 'Eric Roth', 'Joshua Donen', 'Dana Brunetti', 'Andrew Davies', 'Michael Dobbs', 'John Melfi', 'Beau Willimon', 'David Manson', 'John David Coles', 'Robin Wright', 'Frank Pugliese', 'Melissa James Gibson']",N.A.,"['David M. Dunlap', 'Igor Martinovic', 'Eigil Bryld', 'Martin Ahlgren']","['Lisa Bromwell', 'Byron Smith', 'Cindy Mollo']"
The Crown,143,TV Series,No,2016,2023,8.6,"272,000","3,341",42,['Netflix'],United Kingdom,['Drama'],"['Left Bank Pictures', 'Sony Pictures Television']",Peter Morgan,60,6,"['Claire Foy', 'Imelda Staunton', 'Jonathan Pryce', 'Olivia Colman', 'Lesley Manville', 'Dominic West', 'Matt Smith', 'Claudia Harrison', 'Tobias Menzies', 'Marcia Warren', 'Vanessa Kirby', 'Helena Bonham Carter', 'Victoria Hamilton', 'Marion Bailey', 'Erin Doherty', 'Jonny Lee Miller', 'Elizabeth Debicki', 'Jeremy Northam', 'Anton Lesser', 'Ben Daniels', 'Gillian Anderson', 'Jason Watkins', ""Josh O'Connor"", 'Emma Corrin', 'Ben Miles', 'John Lithgow', 'Stephen Boxer']","['Charles Edwards', 'Pip Torrens', 'Sam Phillips', 'Will Keen', 'Lizzy McInnerny', 'Chris Gordon', 'James Murray', 'James Hillier', 'Michael Buerk', 'Andrew Havill', 'Harry Hadden-Paton', 'Clive Francis', 'John Humphrys', 'Daniel Ings', 'Billy Jenkins']",['Peter Morgan'],N.A.,"['Peter Morgan', 'Stephen Daldry', 'Andy Harries', 'Philip Martin', 'Suzanne Mackie', 'Matthew Byam Shaw', 'Robert Fox', 'Tanya Seghatchian', 'Nina Wolarsky', 'Allie Goss', 'Benjamin Caron']","['Andy Stebbing', 'Martin Harrison', 'Michael Casey', 'Andrew Eaton', ""Oona O'Beirn"", 'Faye Ward']",N.A.,N.A.
It's a Sin,144,TV Mini Series,No,2021,2021,8.6,"39,200",233,48,['Channel 4'],United States,"['Comedy', 'Drama']",['Red Production Company'],Russell T Davies,5,1,"['Olly Alexander', 'Omari Douglas', 'Callum Scott Howells', 'Lydia West', 'Nathaniel Curtis']","['Shaun Dooley', 'Keeley Hawes', 'Neil Ashton', 'Toto Bruin', 'Andria Doherty', 'Shaniqua Okwok', 'David Carlyle', 'Delroy Atkinson', 'Tracy-Ann Oberman', 'Delroy Brown', 'Debra Baker', 'Susan Brown', 'Stephen Fry', 'Ashley McGuire', 'Nicholas Blane']",['Russell T Davies'],['Russell T Davies'],"['Russell T Davies', 'Peter Hoar', 'Nicola Shindler']",['Phil Collinson'],N.A.,N.A.
Daredevil,145,TV Series,No,2015,2018,8.6,"510,000","2,100",42,['Netflix'],United States,"['Action', 'Crime', 'Superhero', 'Drama', 'Adventure']","['ABC Studios', 'DeKnight Productions', 'Goddard Textiles', 'Marvel Television']",Drew Goddard,39,3,"['Charlie Cox', 'Deborah Ann Woll', 'Elden Henson', ""Vincent D'Onofrio"", 'Jon Bernthal', 'Jay Ali', 'Wilson Bethel']","['Royce Johnson', 'Geoffrey Cantor', 'Stephen Rider', 'Ayelet Zurer', 'Amy Rutberg', 'Peter McRobbie', 'Elodie Yung', 'Susan Varon', 'Joanne Whalley', 'Bob Gunton', 'Vondie Curtis-Hall', 'Toby Leonard Moore', 'Peter Shinkoda', 'Kate Udall', 'Rosario Dawson']",['Drew Goddard'],N.A.,"['Peter Friedlander', 'Allie Goss', 'Kris Henigman', 'Cindy Holland', 'Alan Fine', 'Stan Lee', 'Joe Quesada', 'Dan Buckley', 'Jim Chory', 'Jeph Loeb', 'Drew Goddard', 'Steven S. DeKnight', 'Mark Verheiden', 'Alison Engel', 'Marco Ramirez', 'Douglas Petrie', 'Karim Zreik', 'Erik Oleson']","['Kati Johnston', 'Evan Perazzo']","['Matthew J. Lloyd', 'Martin Ahlgren', 'Petr Hlinomaz', 'Christopher LaVasseur']","['Jonathan Chibnall', 'Michael N. Knue', 'Monty DeGraff', 'Jo Francis', 'Damien Smith', 'Jesse Ellis', 'Trey Ordoñez']"
The Bridge,146,TV Series,No,2011,2018,8.6,"79,500","2,221",60,['SVT1'],Sweden,"['Crime', 'Mystery', 'Drama']","['Filmlance International', 'Nimbus Film']",Hans Rosenfeldt,38,4,"['Sofia Helin', 'Rafael Pettersson', 'Dag Malmberg', 'Sarah Boberg', 'Kim Bodnia', 'Thure Lindhardt', 'Maria Kulle', 'Puk Scharbau', 'Lars Simonsen', 'Emil Birk Hartmann', 'Louise Peterhoff', 'Adam Pålsson', 'Ellen Hillingsø', 'Mikael Birkkjær', 'Julie Carlsen', 'Anders Mossling', 'Thomas W. Gabrielsson']","['Gabriel Flores Jair', 'Henrik Lundström', 'Lars Simonsen', 'Anette Lindbäck', 'Said Legue', 'Kristina Brändén Whitaker', 'Elliot Metzdorff', 'Vickie Bak Laursen', 'Freja Frost Barlach', 'Lotte Munk', 'Sarah-Sofie Boussnina', 'Smilla Bak', 'Holly Lars Bjarke', 'Sandra Yi Sencindiver', 'Nicolas Bro']",['Hans Rosenfeldt'],"['Hans Rosenfeldt', 'Camilla Ahlgren']","['Stefan Baron', 'Klaus Bassiner', 'Tomas Eskilsson', 'Wolfgang Feindt', 'Tone Rønning']","['Gunnar Carlsson', 'Bo Ehrhardt', 'Anders Landström']",N.A.,"['Sofia Lindgren', 'Kristofer Nordin', 'Margareta Lagerqvist']"
Fighting Spirit,147,TV Series,No,2000,2002,8.8,"12,800","3,024",24,['NTV'],Japan,"['Comedy', 'Anime', 'Drama', 'Action', 'Adventure']","['Madhouse', 'MAPPA']",George Morikawa,126,3,"['Kohei Kiyasu', 'Rikiya Koyama', 'Wataru Takagi', 'Keiji Fujiwara', 'Tomokazu Seki', 'Kenji Utsumi', 'Toshihiko Nakajima', 'Sanae Kobayashi', 'Masaya Onosaka', 'Akemi Okamura', 'Emi Shinohara', 'Hiroyuki Yoshino', 'Kiyoyuki Yanada', 'Koji Tsujitani', 'Masahiko Tanaka', 'Masaki Aizawa', 'Nobutoshi Canna', 'Unsho Ishizuka', 'Yorie Terauchi', 'Toshiyuki Morikawa', 'Kenichi Ono', 'Akio Otsuka', 'Jurota Kosugi', 'Hidenobu Kiuchi', 'Hisao Egawa', 'Shin-ichiro Miki']",['Kohei Kiyasu'],N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Poirot,148,TV Series,No,1989,2013,8.6,"55,000","5,200",50,['ITV'],United Kingdom,"['Crime', 'Drama', 'Mystery']","['The Computer Film Company', 'Picture Partnership Productions', 'Carnival Films', 'London Weekend Television (LWT)', 'WGBH Boston', 'A+E Studios', 'Agatha Christie Productions', 'Masterpiece Theatre', 'Granada Film Productions']",N.A.,70,13,"['David Suchet', 'Hugh Fraser', 'Philip Jackson', 'Pauline Moran']","['David Yelland', 'Zoë Wanamaker', 'Hugh Fraser', 'Pauline Moran', 'Philip Jackson', 'Richard Bebb', 'Beth Goddard', 'Charles Pemberton', 'John Carson', 'Phyllida Law', 'Sean Pertwee', 'Frances Barber', 'Barbara Barnes', 'John Cording', 'Simon Shepherd']",N.A.,N.A.,N.A.,['Brian Eastman and others'],N.A.,N.A.
Primal,149,TV Series,Yes,2019,,8.6,"24,700",450,23,['Adult Swim'],United States,"['Action', 'Adventure', 'Animation', 'Drama']","['Studio La Cachette', 'Williams Street', 'Cartoon Network Studios']",Genndy Tartakovsky,20,2,['Aaron LaPlante'],"['Laëtitia Eïdo', 'Amina Koroma', 'Sebastian Vázquez', 'Jon Olson', 'Tom Kenny', 'Jacob Dudman', 'Aaron LaPlante', 'Fred Tatasciore', 'Giles Matthey', 'Jeremy Crutchley']",['Genndy Tartakovsky'],N.A.,"['Genndy Tartakovsky', 'Brian A. Miller', 'Jennifer Pelphrey', 'Rob Sorcher', 'Sam Register', 'Mike Lazzo', 'Keith Crofford']",['Shareena Carlson'],N.A.,N.A.
Mindhunter,150,TV Series,No,2017,2019,8.6,"369,000","1,031",60,['Netflix'],United States,"['Drama', 'Crime']",['Denver and Delilah Productions'],Joe Penhall,19,2,"['Jonathan Groff', 'Holt McCallany', 'Anna Torv', 'Hannah Gross', 'Cotter Smith', 'Stacey Roca']","['Sonny Valicenti', 'Joe Tuttle', 'Zachary Scott Ross', 'Lauren Glazier', 'Albert Jones', 'Michael Cerveris', 'June Carryl', 'Dohn Norwood', 'Gareth Williams', 'Cameron Britton', 'Nate Corddry', 'Sierra Aylina McClain', 'Siovhan Christensen', 'Stacey Roca', 'Katherine Banks']",['Joe Penhall'],N.A.,"['Beth Kono', 'Charlize Theron', 'Joe Penhall', 'Ceán Chaffin', 'Joshua Donen', 'David Fincher', 'Courtenay Miles']","['Jim Davidson', 'Mark Winemaker', 'Liz Hannah']","['Christopher Probst', 'Erik Messerschmidt']","['Kirk Baxter', 'Tyler Nelson', 'Byron Smith', 'Eric Zumbrunnen', 'Grant Surmi']"
Lonesome Dove,151,TV Mini Series,No,1989,1989,8.7,"28,200",372,90,['CBS'],United States,"['Drama', 'Western']","['Qintex Entertainment', 'Motown Productions', 'Wittliff - Pangaea', 'RHI Entertainment', 'Sonar Entertainment', 'Taurus Film']",N.A.,4,1,"['Robert Duvall', 'Tommy Lee Jones', 'Diane Lane', 'Robert Urich', 'D. B. Sweeney', 'Danny Glover', 'Rick Schroder', 'Glenne Headly', 'Steve Buscemi', 'Anjelica Huston', 'Frederic Forrest', 'Barry Corbin', 'Chris Cooper', 'William Sanderson', 'Timothy Scott', 'Barry Tubb', ""Gavan O'Herlihy"", 'Frederick Coffin', 'Travis Swords', ""Kevin O'Morrison"", 'Ron Weyand', 'Lanny Flaherty', 'James McMurtry', 'Sonny Carl Davis']","['Pierre Epstein', 'Helena Humann', 'John Quijada', 'Max Evers', 'Wallace Merck', 'Robert Donley', 'Matthew Cowles', 'David Ode', 'O-Lan Jones', 'Paul James Vasquez', 'Brandon Smith', 'Jordan Lund', 'Matthew Posey', 'Gene Sovo', 'Michael Tylo']",N.A.,N.A.,N.A.,"['Dyson Lovell', 'Suzanne de Passe']",['Douglas Milsome'],['Corky Ehlers']
