title,rank,ongoing,year_end,year_start,num_of_episodes,parental_rating,user_rating,user_votes_count,series_type,link
The Marvelous Mrs. Maisel,120,No,2023,2017,43,TV-MA,8.7,152K,TV Series,/title/tt5788792/
The Boys,121,Yes,,2019,40,TV-MA,8.6,786K,TV Series,/title/tt1190634/
Stranger Things,122,No,2025,2016,42,TV-14,8.6,1.5M,TV Series,/title/tt4574334/
How to with John Wilson,123,No,2023,2020,18,TV-MA,8.7,16K,TV Series,/title/tt10801534/
The Thick of It,124,No,2012,2005,24,TV-MA,8.7,28K,TV Series,/title/tt0459159/
This Is Us,125,No,2022,2016,106,TV-14,8.7,169K,TV Series,/title/tt5555260/
Behzat Ç: An Ankara Detective Story,126,No,2019,2010,105,TV-14,8.8,35K,TV Series,/title/tt1795096/
1883,127,No,2022,2021,10,TV-MA,8.7,146K,TV Mini Series,/title/tt13991232/
Sarabhai V/S Sarabhai,128,No,2017,2004,79,TV-PG,8.9,19K,TV Series,/title/tt1518542/
Father Ted,129,No,1998,1995,25,TV-14,8.6,46K,TV Series,/title/tt0111958/
Aspirants,130,Yes,,2021,10,,9.2,316K,TV Series,/title/tt14392248/
Code Geass,131,No,2008,2006,54,TV-14,8.7,92K,TV Series,/title/tt0994314/
Ramayan,132,No,1988,1987,78,TV-14,9.0,26K,TV Series,/title/tt0268093/
Adventure Time,133,No,2018,2010,289,TV-PG,8.6,125K,TV Series,/title/tt1305826/
Parks and Recreation,134,No,2015,2009,124,TV-14,8.6,304K,TV Series,/title/tt1266020/
The X-Files,135,No,2018,1993,217,TV-14,8.6,264K,TV Series,/title/tt0106179/
The Mandalorian,136,Yes,,2019,25,TV-14,8.6,630K,TV Series,/title/tt8111088/
Atlanta,137,No,2022,2016,41,TV-MA,8.6,95K,TV Series,/title/tt4288182/
Dexter,138,No,2013,2006,96,TV-MA,8.6,853K,TV Series,/title/tt0773262/
Deadwood,139,No,2006,2004,36,TV-MA,8.6,124K,TV Series,/title/tt0348914/
House of Cards,140,No,2018,2013,73,TV-MA,8.6,548K,TV Series,/title/tt1856010/
The Crown,141,No,2023,2016,60,TV-MA,8.6,272K,TV Series,/title/tt4786824/
Mr Inbetween,142,No,2021,2018,26,TV-MA,8.7,41K,TV Series,/title/tt7472896/
It's a Sin,143,No,2021,2021,5,TV-MA,8.6,39K,TV Mini Series,/title/tt9140342/
Daredevil,144,No,2018,2015,39,TV-MA,8.6,509K,TV Series,/title/tt3322312/
The Bridge,145,No,2018,2011,38,TV-MA,8.6,81K,TV Series,/title/tt1733785/
Primal,146,Yes,,2019,21,TV-MA,8.6,25K,TV Series,/title/tt10332508/
Poirot,147,No,2013,1989,70,TV-14,8.6,56K,TV Series,/title/tt0094525/
Blackadder II,148,No,1986,1986,6,TV-PG,8.6,52K,TV Series,/title/tt0088484/
Fighting Spirit,149,No,2002,2000,76,TV-PG,8.8,14K,TV Series,/title/tt0481256/
Lonesome Dove,150,No,1989,1989,4,TV-14,8.7,28K,TV Mini Series,/title/tt0096639/
Mindhunter,151,No,2019,2017,19,TV-MA,8.6,371K,TV Series,/title/tt5290382/
Shōgun,152,No,2026,2024,12,TV-MA,8.6,221K,TV Series,/title/tt2788316/
Mr. Bean,153,No,1995,1990,15,Not Rated,8.6,144K,TV Series,/title/tt0096657/
The Return of Sherlock Holmes,154,No,1988,1986,13,TV-PG,8.7,15K,TV Series,/title/tt0090509/
Crash Landing on You,155,No,2020,2019,19,TV-14,8.7,52K,TV Series,/title/tt10850932/
The Penguin,156,No,2024,2024,8,TV-MA,8.6,201K,TV Mini Series,/title/tt15435876/
The Offer,157,No,2022,2022,10,TV-MA,8.6,47K,TV Mini Series,/title/tt13111040/
Haikyu!!,158,No,2020,2014,89,TV-14,8.7,46K,TV Series,/title/tt3398540/
The Jinx: The Life and Deaths of Robert Durst,159,No,2024,2015,12,TV-14,8.6,57K,TV Series,/title/tt4299972/
Yes Minister,160,No,1984,1980,22,TV-PG,8.6,18K,TV Series,/title/tt0080306/
Gomorrah,161,No,2021,2014,58,TV-MA,8.6,48K,TV Series,/title/tt2049116/
Pose,162,No,2021,2018,26,TV-MA,8.6,35K,TV Series,/title/tt7562112/
Blackadder the Third,163,No,1987,1987,6,TV-PG,8.6,49K,TV Series,/title/tt0092324/
El Chavo del Ocho,164,No,1983,1972,358,TV-PG,8.7,15K,TV Series,/title/tt0229889/
Scavengers Reign,165,No,2023,2023,12,TV-MA,8.6,31K,TV Mini Series,/title/tt21056886/
Greatest Events of WWII in Colour,166,No,2019,2019,10,,8.6,13K,TV Mini Series,/title/tt9103932/
The Bureau,167,No,2020,2015,50,TV-MA,8.7,17K,TV Series,/title/tt4063800/
Anne with an E,168,No,2019,2017,27,TV-PG,8.6,75K,TV Series,/title/tt5421602/
Critical Role,169,Yes,,2015,379,TV-14,9.0,14K,TV Series,/title/tt4834232/
The Newsroom,170,No,2014,2012,25,TV-MA,8.6,131K,TV Series,/title/tt1870479/
Archer,171,No,2023,2009,144,TV-MA,8.6,172K,TV Series,/title/tt1486217/
Mystery Science Theater 3000,172,No,1999,1988,199,TV-14,8.6,27K,TV Series,/title/tt0094517/
Dopesick,173,No,2021,2021,8,TV-MA,8.6,87K,TV Mini Series,/title/tt9174558/
Boardwalk Empire,174,No,2014,2010,56,TV-MA,8.6,212K,TV Series,/title/tt0979432/
Homicide: Life on the Street,175,No,1999,1993,122,TV-14,8.7,16K,TV Series,/title/tt0106028/
Yeh Meri Family,176,Yes,,2018,22,TV-14,8.9,27K,TV Series,/title/tt8595766/
Justified,177,No,2015,2010,78,TV-MA,8.6,126K,TV Series,/title/tt1489428/
QI,178,Yes,,2003,358,TV-PG,8.6,35K,TV Series,/title/tt0380136/
The Bugs Bunny Show,179,No,1975,1960,78,TV-G,8.6,37K,TV Series,/title/tt0053488/
Young Justice,180,No,2022,2010,98,TV-PG,8.6,49K,TV Series,/title/tt1641384/
The Last of Us,181,Yes,,2023,17,TV-MA,8.6,680K,TV Series,/title/tt3581920/
The Family Man,182,Yes,,2019,20,TV-MA,8.7,105K,TV Series,/title/tt9544034/
Demon Slayer: Kimetsu no Yaiba,183,No,2024,2019,69,TV-MA,8.6,191K,TV Series,/title/tt9335498/
What We Do in the Shadows,184,No,2024,2019,61,TV-MA,8.6,120K,TV Series,/title/tt7908628/
Dragon Ball,185,No,1989,1986,153,TV-14,8.5,73K,TV Series,/title/tt0088509/
Battlestar Galactica,186,No,2003,2003,2,TV-14,8.5,83K,TV Mini Series,/title/tt0314979/
The Haunting of Hill House,187,No,2018,2018,10,TV-MA,8.5,312K,TV Mini Series,/title/tt6763664/
Justice League,188,No,2004,2001,52,TV-PG,8.5,55K,TV Series,/title/tt0275137/
Dragon Ball,189,No,2003,1995,153,TV-14,8.5,71K,TV Series,/title/tt0280249/
Andor,190,No,2025,2022,24,TV-14,8.5,235K,TV Series,/title/tt9253284/
Endeavour,191,No,2023,2012,36,TV-14,8.6,36K,TV Series,/title/tt2701582/
The Venture Bros.,192,No,2018,2003,86,TV-14,8.6,30K,TV Series,/title/tt0417373/
"Yes, Prime Minister",193,No,1987,1986,16,TV-PG,8.6,14K,TV Series,/title/tt0086831/
Samurai Champloo,194,No,2005,2004,26,TV-MA,8.5,60K,TV Series,/title/tt0423731/
Flight of the Conchords,195,No,2009,2007,22,TV-MA,8.5,68K,TV Series,/title/tt0863046/
The Rehearsal,196,Yes,,2022,12,TV-MA,8.5,33K,TV Series,/title/tt10802170/
The IT Crowd,197,No,2013,2006,27,TV-14,8.5,172K,TV Series,/title/tt0487831/
The Queen's Gambit,198,No,2020,2020,7,TV-MA,8.5,624K,TV Mini Series,/title/tt10048342/
Coupling,199,No,2004,2000,28,TV-14,8.5,49K,TV Series,/title/tt0237123/
Rocket Boys,200,Yes,,2022,16,,8.8,20K,TV Series,/title/tt13868972/
Black Sun,201,No,2020,2017,20,TV-MA,8.8,13K,TV Series,/title/tt6108262/
Solo Leveling,202,Yes,,2024,26,TV-MA,8.6,82K,TV Series,/title/tt21209876/
